image id,text,caption,combined_summary
image1,RJ14 CJ  5208 PB 01€ 1433 Szzin IND Cho 1407517 ALYO,a car is stopped at a traffic light, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_0,,a traffic light with a green light on it, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_1,,a pair of blue and silver earrings, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_2,SzI IND CHo 14075171 FLYO,a silver car with a license on it, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_3,PB 01€ 1433,hyundai i10 facelifter rear view, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_4,,a man in a black shirt and jeans is holding a knife, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_5,,a man in a blue jacket with a red line, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_6,,a traffic light with a green light on it, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_7,C 5208 RJi,a small car with a number plate on it, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_8,,a white car with a red stripe, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_9,,a black and white glove with a red stripe, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_10,,a green screen with a red border, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_11,,a black silhouette of a man with a red background, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_12,,the map of the island of st lucia, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_13,,a red plastic chair with a metal base, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_14,,the logo for the new york football club, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_15,,a white and red triangle with a black background, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_16,,the logo for the fp, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
image1_17,,a black hat with a white stripe, A man in a black shirt and jeans is holding a knife . A car is stopped at a traffic light with a green light on it a pair of blue and silver earrings . A small car with a number plate on it is a white car with red stripe a black and white glove with a red stripe .
